N,rv,rg,Z,ccflag,tcount,TotalTime
2.0,1.0,20.0,0.0002,1,154456,2286.4568
4.0,2.0,8.0,0.02,0,192091,14000.389
16.0,1.0,2.0,0.0002,0,1493527,14000.124
4.0,1.0,8.0,0.02,1,207944,8291.821
2.0,1.0,20.0,0.02,1,82151,4200.316
4.0,4.0,8.0,0.0002,0,263761,14000.007
4.0,0.5,2.0,0.02,1,204793,3508.9492
2.0,1.0,8.0,0.002,1,124804,1830.3324
2.0,2.0,8.0,0.02,1,79890,11986.158
16.0,4.0,8.0,0.002,0,707753,14000.013
2.0,2.0,20.0,0.02,1,80980,11462.2295
8.0,2.0,8.0,0.0002,0,598555,14000.087
4.0,2.0,20.0,0.02,0,181714,14000.004
2.0,4.0,2.0,0.02,0,20945,3127.3699
4.0,2.0,8.0,0.002,0,313264,14000.43
4.0,1.0,8.0,0.002,1,291831,7725.391
2.0,0.5,2.0,0.02,1,1244222,1625.9573
32.0,2.0,20.0,0.0002,0,1551870,8350.813
8.0,1.0,2.0,0.0002,1,701781,13391.176
16.0,1.0,8.0,0.0002,0,1509746,14000.002
4.0,1.0,8.0,0.0002,1,339714,6520.405
2.0,2.0,8.0,0.002,1,144094,4916.5693
8.0,0.5,20.0,0.0002,1,861016,8501.139
4.0,0.5,2.0,0.002,1,357744,3875.2837
16.0,0.5,2.0,0.002,0,1695128,14000.032
32.0,2.0,20.0,0.02,0,1586610,14000.075
16.0,1.0,20.0,0.02,0,1063538,14000.1
4.0,4.0,8.0,0.02,0,133060,13999.988
2.0,1.0,2.0,0.02,1,69382,3738.488
16.0,0.5,2.0,0.0002,0,8267,2.485142
8.0,0.5,8.0,0.02,1,524778,7376.2935
16.0,0.5,20.0,0.002,0,1826916,14000.017
2.0,1.0,8.0,0.02,1,85278,5221.358
2.0,0.5,8.0,0.02,1,6470070,2952.6436
16.0,4.0,8.0,0.02,0,414250,13999.989
16.0,4.0,8.0,0.0002,0,629993,14000.011
4.0,2.0,2.0,0.002,1,309009,9591.876
2.0,0.5,2.0,0.0002,1,315531,299.78033
16.0,1.0,20.0,0.0002,0,1508354,14000.005
4.0,1.0,20.0,0.002,1,303335,7480.621
16.0,2.0,20.0,0.02,0,853052,14000.014
16.0,4.0,20.0,0.002,0,610661,14000.011
8.0,0.5,8.0,0.002,1,763763,10514.459
16.0,1.0,20.0,0.002,0,1511685,13999.976
8.0,1.0,8.0,0.002,0,722078,14000.246
