N,rv,rg,Z,ccflag,tcount,TotalTime
16.0,0.5,8.0,0.002,0,1703244,15.82869
4.0,0.5,8.0,0.0002,1,899204,1.8247582
2.0,1.0,20.0,0.0002,1,154456,2.016916
4.0,2.0,8.0,0.02,0,192091,3.3888497
16.0,1.0,2.0,0.0002,0,1493527,5.596334
4.0,1.0,8.0,0.02,1,207944,5.676841
2.0,1.0,20.0,0.02,1,82151,3.7051585
4.0,4.0,8.0,0.0002,0,263761,1.1981076
4.0,0.5,2.0,0.02,1,204793,6.7948375
2.0,1.0,8.0,0.002,1,124804,1.6145623
2.0,2.0,8.0,0.02,1,79890,3.7381864
16.0,4.0,8.0,0.002,0,707753,0.6995354
2.0,2.0,20.0,0.02,1,80980,3.574786
8.0,2.0,8.0,0.0002,0,598555,2.5968647
4.0,2.0,20.0,0.02,0,181714,3.3887565
2.0,4.0,2.0,0.02,0,20945,0.34483755
4.0,2.0,8.0,0.002,0,313264,3.3888595
4.0,1.0,8.0,0.002,1,291831,5.2890453
2.0,0.5,2.0,0.02,1,1244222,4.0567594
32.0,2.0,20.0,0.0002,0,1551870,0.89288586
8.0,1.0,2.0,0.0002,1,701781,7.025579
16.0,1.0,8.0,0.0002,0,1509746,5.596285
4.0,1.0,8.0,0.0002,1,339714,4.4640737
2.0,2.0,8.0,0.002,1,144094,1.5333564
8.0,0.5,20.0,0.0002,1,861016,12.614968
4.0,0.5,2.0,0.002,1,357744,7.504219
16.0,0.5,2.0,0.002,0,1695128,15.82869
32.0,2.0,20.0,0.02,0,1586610,1.4969163
16.0,1.0,20.0,0.02,0,1063538,5.596324
4.0,4.0,8.0,0.02,0,133060,1.198106
2.0,1.0,2.0,0.02,1,69382,3.2977736
16.0,0.5,2.0,0.0002,0,8267,0.0028097464
8.0,0.5,8.0,0.02,1,524778,10.945793
16.0,0.5,20.0,0.002,0,1826916,15.828671
2.0,1.0,8.0,0.02,1,85278,4.605834
2.0,0.5,8.0,0.02,1,6470070,7.3668385
16.0,4.0,8.0,0.02,0,414250,0.69953424
16.0,4.0,8.0,0.0002,0,629993,0.6995353
4.0,2.0,2.0,0.002,1,309009,2.3217516
2.0,0.5,2.0,0.0002,1,315531,0.7479512
16.0,1.0,20.0,0.0002,0,1508354,5.5962863
4.0,1.0,20.0,0.002,1,303335,5.121468
16.0,2.0,20.0,0.02,0,853052,1.9785824
16.0,4.0,20.0,0.002,0,610661,0.6995353
8.0,0.5,8.0,0.002,1,763763,15.602565
16.0,1.0,20.0,0.002,0,1511685,5.5962744
8.0,1.0,8.0,0.002,0,722078,7.3451233
